title,stars,text,sentimen_bert,sentimen
Pantai Tanjung Gelam,5,pantai menakjubkan pasirpasir putih good,positive,positive
Pantai Tanjung Gelam,5,pantai tanjung gelam merupakan salah satu pantai paling indah karimunjawa pasirnya putih halus air lautnya sangat jernih gradasi warna biru menenangkan suasananya cocok bersantai berenang berfoto sunset pantai sangat terkenal memang luar biasa indah akses menuju lokasi cukup mudah sudah warungwarung sederhana tempat wajib dikunjungi liburan karimunjawapantai cocok bawa anak berenang area dangkalnya luasbisa sewa watersport banana boatjetskidll,positive,positive
Pantai Tanjung Gelam,5,salah satu pantai favorit bila karimunjawa berdekatan pantai lain sunset beach pantai batu topengdi pantai tanjung gelam bisa mendapatkan spot sunset terdapat spot favorit berfoto pohon kelapa tumbuh miring menjorok laut,positive,positive
Pantai Tanjung Gelam,5,pantai denganpasir putih bersih panorama laut membiru sedap pandang mata spot sunset mempesona,positive,positive
Pantai Tanjung Gelam,5,the iconic tanjung gelam coconut trees,positive,positive
Pantai Tanjung Gelam,5,kemaleman saking gak move on nya,negative,negative
Pantai Tanjung Gelam,4,biaya 10kview sunset bagus,positive,positive
Pantai Tanjung Gelam,5,tempat nyunset estetik karimunjawa,neutral,neutral
Pantai Tanjung Gelam,5,pantai nya keren,positive,positive
Pantai Tanjung Gelam,2,watcouttt theres a jetski cheating,negative,negative
Pantai Tanjung Gelam,5,pantai pemandangan ciamik banget sunset masuknya 5rb perorang cuman jalannya kecil pake motor aja main cano cuman 50rb,positive,positive
Pantai Tanjung Gelam,5,pantainyaa baguss akses jalannya mudahh cuman gelap aja dikit view sunsetnya cakepp main kano jetski penyewaan drone di pinggir pantai banyak warung2 jadi makan kalo laper wkwk,positive,positive
Pantai Tanjung Gelam,5,kesini lihat sunset antri foto kelapa miring panjangbanyk warung kelapa muda enak joss mantab buah besar2,positive,positive
Pantai Tanjung Gelam,5,spot foto sedang mencari sunset paling ciamik bagus bangetpasir nya putih bersih pohon kelapa miring rela antri buat dapetin hasil foto view bagus,positive,positive
Pantai Tanjung Gelam,5,best spot sunset sih tempat,positive,positive
