title,stars,text
Pantai Tanjung Gelam,5,nan
Pantai Tanjung Gelam,5,pantai menakjubkan pasirpasir putih good
Pantai Tanjung Gelam,5,pantai tanjung gelam merupakan salah satu pantai paling indah karimunjawa pasirnya putih halus air lautnya sangat jernih gradasi warna biru menenangkan suasananya cocok bersantai berenang berfoto sunset pantai sangat terkenal memang luar biasa indah akses menuju lokasi cukup mudah sudah warungwarung sederhana tempat wajib dikunjungi liburan karimunjawapantai cocok bawa anak berenang area dangkalnya luasbisa sewa watersport banana boatjetskidll
Pantai Tanjung Gelam,5,salah satu pantai favorit bila karimunjawa berdekatan pantai lain sunset beach pantai batu topengdi pantai tanjung gelam bisa mendapatkan spot sunset terdapat spot favorit berfoto pohon kelapa tumbuh miring menjorok laut
Pantai Tanjung Gelam,5,pantai denganpasir putih bersih panorama laut membiru sedap pandang mata spot sunset mempesona
Pantai Tanjung Gelam,5,the iconic tanjung gelam coconut trees
Pantai Tanjung Gelam,5,kemaleman saking gak move on nya
Pantai Tanjung Gelam,4,biaya 10kview sunset bagus
Pantai Tanjung Gelam,5,tempat nyunset estetik karimunjawa
Pantai Tanjung Gelam,5,pantai nya keren
Pantai Tanjung Gelam,2,watcouttt theres a jetski cheating
Pantai Tanjung Gelam,5,pantai pemandangan ciamik banget sunset masuknya 5rb perorang cuman jalannya kecil pake motor aja main cano cuman 50rb
Pantai Tanjung Gelam,5,pantainyaa baguss akses jalannya mudahh cuman gelap aja dikit view sunsetnya cakepp main kano jetski penyewaan drone di pinggir pantai banyak warung2 jadi makan kalo laper wkwk
Pantai Tanjung Gelam,5,kesini lihat sunset antri foto kelapa miring panjangbanyk warung kelapa muda enak joss mantab buah besar2
Pantai Tanjung Gelam,5,spot foto sedang mencari sunset paling ciamik bagus bangetpasir nya putih bersih pohon kelapa miring rela antri buat dapetin hasil foto view bagus
Pantai Tanjung Gelam,5,best spot sunset sih tempat
Pantai Tanjung Gelam,5,part of karimun jawa island and this place most beautiful everywhere you see w view sunset
Pantai Tanjung Gelam,5,baguus banget pantainya icon pohon kelapa melengkung menjadi unik utk foto2 biaya idr 10000 pasirnya bagus lembutenak jg buat berenang lihat sunset
Pantai Tanjung Gelam,5,amazing karimunjawa island
Pantai Tanjung Gelam,5,pantai pohon kelapa miringdan sunset bagus
Pantai Tanjung Gelam,5,a nice place to enjoy the sunset
Pantai Tanjung Gelam,5,identik kelapa miring sama sunsetnya besttt banget
Pantai Tanjung Gelam,5,best place to chill because theres a lot of trees
Pantai Tanjung Gelam,2,kelapa mahal
Pantai Tanjung Gelam,5,pantai buat menikmati sunsettapi pas kesini pagi jadi ga sunset deh
Pantai Tanjung Gelam,5,sunrise sunset karimun emg gaperlu raguin tp kalo disini sunset nya cantikbgttttt
Pantai Tanjung Gelam,4,very commercialized beach a lot of activities and food are available of course they all come with a price food and drinks are more expensive than in town entrance tickets are 10k toilets are mostly broken so better pee in the sea
Pantai Ujung Gelam,5,maasyaa allooh alhamdulillaah msh asri
Pantai Ujung Gelam,5,nyaman airnya jernih pagi banyak pengunjungmenyediakan beberapa wahana berenang pantai jetski banana boat rolling donuts kano
Pantai Ujung Gelam,5,keren pantainya pohon kelapa miring iconic biasa dipakai orang2 foto manjat gitu cuman kalo kesini pas rame orang mau foto pohon kelapanya mesti antri tp bagus hasilnya
Pantai Ujung Gelam,5,makasimalkn perancanaan utamakan umkm setempat
Pantai Ujung Gelam,5,indah sekali
Pantai Ujung Gelam,5,une plage trs agrable avec mme des poissons en snorkelingpouf confortable avec les consommations pas chres accs en scooter parasol musique le soir trs convivial
Pantai Ujung Gelam,5,kalau mau menikmati sunset yah disini
Pantai Ujung Gelam,5,pantai nan eksotis karimunjawa batu karang pasir putih sangat landai ombak kecil spot menikmati sunset berenang permainan banana boat naik perahu berjemur sekedar bermain pasir cocok liburan bersama teman keluarga
Pantai Ujung Gelam,5,spot sunset
Pantai Ujung Gelam,5,pantai wajib kalo karimun jawa wkwk spot foto kelapa miring bekas ratusan ribu umat
